Run,Score,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16
1,199,-0.56307,-0.58631,-0.85366,0.06246,-0.11593,-0.69563,-0.35525,-0.74294,-0.84987,-1.05503,-0.93014,0.64949,0.83364,0.25688,-0.21723,-0.04560
2,199,0.42500,0.39275,-0.67400,0.95678,-0.94205,-0.53572,-0.53007,-0.42730,-0.55506,-0.94775,-0.47874,0.88900,-0.01322,-0.54649,-0.42809,-0.58979
3,198,0.11760,-0.69839,-0.22953,0.36933,-0.17214,-0.31411,-0.14729,-0.99205,-0.59921,0.94803,-0.25292,0.40554,-0.63068,0.34686,0.10648,0.03760
4,197,-0.35954,-0.54057,-0.68238,0.48434,-0.06464,-0.67114,-0.80559,-0.66345,-0.80393,-0.50492,-0.16229,0.31965,0.57316,-0.57191,-0.22346,-1.10740
5,199,0.74665,1.00879,-0.75453,0.77159,-0.44440,-0.53638,0.11000,-0.56501,-0.77295,-0.56796,-0.61135,0.59963,-0.57886,0.10605,-0.37434,0.05258
6,198,-0.60937,-0.00093,-0.79030,0.11576,-0.98681,0.32659,1.11738,0.14896,-0.48114,0.21252,-0.17689,0.78991,0.26588,-0.92071,-0.47850,0.00556
7,199,0.57489,-0.78421,-0.06382,0.81717,-1.07570,-0.40981,-0.23645,-0.13250,-0.18077,-0.45883,-0.66217,0.10217,0.50677,-0.28322,0.35512,-0.52949
8,199,-0.51199,-0.87323,0.79725,0.85427,-0.90090,-0.77347,-1.30219,-0.25508,-0.96320,-0.44499,-0.66741,0.92195,0.14669,-0.28446,0.06177,-0.04352
9,199,-0.35616,-0.82260,0.69868,0.77698,-0.16228,0.19751,0.31845,-0.29470,-1.29269,-0.26473,-0.27151,1.11109,0.02898,-0.71452,-0.73624,0.18162
10,199,-0.43724,-0.68612,-0.68638,-0.23737,-0.88707,0.52413,-0.39351,-0.06530,-0.99402,-0.26589,0.12386,0.29116,0.31681,0.00956,-0.73894,-0.12114
11,199,0.16216,-0.48482,-0.77137,0.78250,-0.39129,0.53349,-0.96913,-1.03158,-1.02152,-1.01796,0.52187,0.66442,0.12353,-0.25740,-1.13450,0.26000
12,199,-0.57862,-1.02117,0.21080,0.55298,-0.61849,-0.73453,-0.04532,-0.68246,-0.84398,0.22254,0.61857,0.36925,-0.33410,0.23966,-0.85232,0.06527
